G1?,G2?,G3?,G4?,G5?,G6?,EX_A(e),EX_B(e),Objective
0.0,0.0,1.0,0.0,0.0,0.0,-99.2367338236949,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-99.2367338236949,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-99.2367338236949,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-99.2367338236949,-0.0,99.2367338236949
0.0,0.0,0.0,0.0,0.0,1.0,-99.2367338236949,-0.0,99.2367338236949
0.0,1.0,0.0,0.0,0.0,0.0,-99.2367338236949,-0.0,99.2367338236949
0.0,0.0,1.0,0.0,0.0,0.0,-99.10906794141351,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-99.10906794141351,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-99.10906794141351,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-99.10906794141351,-0.0,99.10906794141351
0.0,0.0,0.0,0.0,0.0,1.0,-99.10906794141351,-0.0,99.10906794141351
0.0,1.0,0.0,0.0,0.0,0.0,-99.10906794141351,-0.0,99.10906794141351
0.0,0.0,1.0,0.0,0.0,0.0,-98.43879359946102,-75.80117884019599,75.80117884019599
0.0,0.0,0.0,1.0,0.0,0.0,-98.43879359946102,-75.80117884019599,75.80117884019599
1.0,0.0,0.0,0.0,0.0,0.0,-98.43879359946102,-75.80117884019599,75.80117884019599
0.0,0.0,0.0,0.0,1.0,0.0,-98.43879359946102,-75.80117884019599,174.239972439657
0.0,0.0,0.0,0.0,0.0,1.0,-98.43879359946102,-75.80117884019599,174.239972439657
0.0,1.0,0.0,0.0,0.0,0.0,-98.43879359946102,-75.80117884019599,98.43879359946102
0.0,0.0,1.0,0.0,0.0,0.0,-98.29726809731706,-68.71953705977437,68.71953705977437
0.0,0.0,0.0,1.0,0.0,0.0,-98.29726809731706,-68.71953705977437,68.71953705977437
1.0,0.0,0.0,0.0,0.0,0.0,-98.29726809731706,-68.71953705977437,68.71953705977437
0.0,0.0,0.0,0.0,1.0,0.0,-98.29726809731706,-68.71953705977437,167.01680515709143
0.0,0.0,0.0,0.0,0.0,1.0,-98.29726809731706,-68.71953705977437,167.01680515709143
0.0,1.0,0.0,0.0,0.0,0.0,-98.29726809731706,-68.71953705977437,98.29726809731706
0.0,0.0,1.0,0.0,0.0,0.0,-97.78685445421326,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-97.78685445421326,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-97.78685445421326,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-97.78685445421326,-0.0,97.78685445421326
0.0,0.0,0.0,0.0,0.0,1.0,-97.78685445421326,-0.0,97.78685445421326
0.0,1.0,0.0,0.0,0.0,0.0,-97.78685445421326,-0.0,97.78685445421326
0.0,0.0,1.0,0.0,0.0,0.0,-97.75753183808428,-72.06093551356241,72.06093551356241
0.0,0.0,0.0,1.0,0.0,0.0,-97.75753183808428,-72.06093551356241,72.06093551356241
1.0,0.0,0.0,0.0,0.0,0.0,-97.75753183808428,-72.06093551356241,72.06093551356241
0.0,0.0,0.0,0.0,1.0,0.0,-97.75753183808428,-72.06093551356241,169.8184673516467
0.0,0.0,0.0,0.0,0.0,1.0,-97.75753183808428,-72.06093551356241,169.8184673516467
0.0,1.0,0.0,0.0,0.0,0.0,-97.75753183808428,-72.06093551356241,97.75753183808428
0.0,0.0,1.0,0.0,0.0,0.0,-97.67046164293508,-77.58943887653848,77.58943887653848
0.0,0.0,0.0,1.0,0.0,0.0,-97.67046164293508,-77.58943887653848,77.58943887653848
1.0,0.0,0.0,0.0,0.0,0.0,-97.67046164293508,-77.58943887653848,77.58943887653848
0.0,0.0,0.0,0.0,1.0,0.0,-97.67046164293508,-77.58943887653848,175.25990051947355
0.0,0.0,0.0,0.0,0.0,1.0,-97.67046164293508,-77.58943887653848,175.25990051947355
0.0,1.0,0.0,0.0,0.0,0.0,-97.67046164293508,-77.58943887653848,97.67046164293508
0.0,0.0,1.0,0.0,0.0,0.0,-97.5497415269978,-62.63353260708827,62.63353260708827
0.0,0.0,0.0,1.0,0.0,0.0,-97.5497415269978,-62.63353260708827,62.63353260708827
1.0,0.0,0.0,0.0,0.0,0.0,-97.5497415269978,-62.63353260708827,62.63353260708827
0.0,0.0,0.0,0.0,1.0,0.0,-97.5497415269978,-62.63353260708827,160.18327413408608
0.0,0.0,0.0,0.0,0.0,1.0,-97.5497415269978,-62.63353260708827,160.18327413408608
0.0,1.0,0.0,0.0,0.0,0.0,-97.5497415269978,-62.63353260708827,97.5497415269978
0.0,0.0,1.0,0.0,0.0,0.0,-97.54112804384802,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-97.54112804384802,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-97.54112804384802,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-97.54112804384802,-0.0,97.54112804384802
0.0,0.0,0.0,0.0,0.0,1.0,-97.54112804384802,-0.0,97.54112804384802
0.0,1.0,0.0,0.0,0.0,0.0,-97.54112804384802,-0.0,97.54112804384802
0.0,0.0,1.0,0.0,0.0,0.0,-97.46675595462138,-90.06387656076669,90.06387656076669
0.0,0.0,0.0,1.0,0.0,0.0,-97.46675595462138,-90.06387656076669,90.06387656076669
1.0,0.0,0.0,0.0,0.0,0.0,-97.46675595462138,-90.06387656076669,90.06387656076669
0.0,0.0,0.0,0.0,1.0,0.0,-97.46675595462138,-90.06387656076669,187.53063251538805
0.0,0.0,0.0,0.0,0.0,1.0,-97.46675595462138,-90.06387656076669,187.53063251538805
0.0,1.0,0.0,0.0,0.0,0.0,-97.46675595462138,-90.06387656076669,97.46675595462138
0.0,0.0,1.0,0.0,0.0,0.0,-93.173399942353,-71.14414758385125,71.14414758385125
0.0,0.0,0.0,1.0,0.0,0.0,-93.173399942353,-71.14414758385125,71.14414758385125
1.0,0.0,0.0,0.0,0.0,0.0,-93.173399942353,-71.14414758385125,71.14414758385125
0.0,0.0,0.0,0.0,1.0,0.0,-93.173399942353,-71.14414758385125,164.31754752620424
0.0,0.0,0.0,0.0,0.0,1.0,-93.173399942353,-71.14414758385125,164.31754752620424
0.0,1.0,0.0,0.0,0.0,0.0,-93.173399942353,-71.14414758385125,93.173399942353
0.0,0.0,1.0,0.0,0.0,0.0,-92.17151227440358,-0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-92.17151227440358,-0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,-92.17151227440358,-0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-92.17151227440358,-0.0,92.17151227440358
